,BALBOA LAKE MGD,J GARDEN MGD,WILDLIFE LAKE MGD,SOUTH CHANNEL WEIR MGD,Datetime
332,85935.78125,-2580463.5,579831.0,8283932.0,2017-10-14 20:00:00
333,85929.5,-2580275.5,579788.75,8283317.5,2017-10-14 21:00:00
334,85923.23438,-2580088.0,579746.625,8282703.5,2017-10-14 22:00:00
335,85916.95313,-2579900.0,579704.375,8282089.5,2017-10-14 23:00:00
336,85910.6875,-2579712.5,579662.125,8281475.5,2017-10-15 00:00:00
337,85904.40625,-2579524.5,579620.0,8280861.0,2017-10-15 01:00:00
338,85898.14063,-2579337.0,579577.75,8280247.0,2017-10-15 02:00:00
339,85891.85938,-2579149.0,579535.625,8279633.0,2017-10-15 03:00:00
340,85885.59375,-2578961.5,579493.375,8279018.5,2017-10-15 04:00:00
341,85879.3125,-2578773.5,579451.25,8278404.5,2017-10-15 05:00:00
342,85873.04688,-2578585.5,579409.0,8277790.5,2017-10-15 06:00:00
343,85866.76563,-2578398.0,579366.875,8277176.0,2017-10-15 07:00:00
344,85860.5,-2578210.0,579324.625,8276562.0,2017-10-15 08:00:00
345,85854.21875,-2578022.5,579282.5,8275948.0,2017-10-15 09:00:00
346,85847.95313,-2577834.5,579240.25,8275333.5,2017-10-15 10:00:00
347,85841.67188,-2577647.0,579198.0,8274719.5,2017-10-15 11:00:00
348,85835.40625,-2577459.0,579155.875,8274105.5,2017-10-15 12:00:00
349,85829.125,-2577271.0,579113.625,8273491.5,2017-10-15 13:00:00
